provinsi;kab_kota;ADM2_PCODE;kepadatan_penduduk;laju_pertumbuhan;kemiskinan;rasio_jk;rasio_dokter;rasio_puskesmas;rasio_rs;TPT;sanitasi;butahuruf;krt_perempuan;pendidikan_rendah;balita;lansia;perkotaan;jamkes;tabungan;internet;telepon;informal;rata2_jumlah_ART;komersial_density;disabilitas;pelatihan_bencana;fasilitas_mitigasi;POI_density;area_terbangun
Jawa Timur;Kota Blitar;ID3572;4665.000;0.978;6.75;98.49;1.9500603740;0.3099433708;3.8742921350;5.11;95.93;0.023802;0.046693;0.260106;0.071257;0.160192;1.000000;0.035084;0.523628;0.826222;62.83677040;45.59639266;3.738739680;185.662650600;4.5393789510;100.00000000;100.00000000;18.463855420;19.859315320
Jawa Timur;Kota Malang;ID3573;7856.000;0.855;3.91;98.77;2.3364432440;0.2933445171;3.2084556560;6.10;87.84;0.022897;0.039646;0.229919;0.065544;0.134432;1.000000;0.119667;0.562086;0.820989;71.02841597;37.70597387;3.706247913;209.182571100;3.2955423090;85.96491228;100.00000000;27.682751170;23.756345630
Jawa Timur;Kota Probolinggo;ID3574;4564.000;1.012;6.18;98.55;1.1140543160;0.3847094041;2.0036948130;4.44;91.59;0.056230;0.034936;0.344730;0.074355;0.086061;1.000000;0.057633;0.495913;0.718221;59.21049372;40.40030556;3.911387787;75.969275790;3.9152196650;93.10344828;96.55172414;23.079736650;17.351298850
Jawa Timur;Kota Pasuruan;ID3575;5625.000;1.386;6.32;100.08;1.1896514000;0.5834305718;0.9116102684;4.63;95.52;0.025377;0.034213;0.340446;0.078490;0.114475;1.000000;0.019178;0.437357;0.769679;58.80799473;36.02423202;3.954098466;121.000000000;2.6345536760;44.11764706;88.23529412;25.666666670;16.038499730
Jawa Timur;Kota Mojokerto;ID3576;6795.000;0.955;5.57;98.18;2.8822429090;0.6987255537;4.3670347110;3.76;98.56;0.022046;0.038490;0.216382;0.074173;0.131864;1.000000;0.040750;0.552799;0.799256;65.98901884;37.93693304;3.769723967;198.170128600;5.9973943360;27.77777778;100.00000000;24.381800200;25.017275770
Jawa Timur;Kota Madiun;ID3577;5584.000;0.900;4.38;95.86;2.5821863830;0.4757963393;4.9562118680;4.30;95.19;0.016075;0.047959;0.166469;0.062166;0.175586;1.000000;0.023019;0.624878;0.830355;70.13637532;40.91200435;3.475694708;139.606974800;2.7953034940;92.59259259;100.00000000;19.928037640;24.544437380
Jawa Timur;Kota Surabaya;ID3578;8698.000;0.364;3.96;98.01;2.5482581080;0.3449696714;2.2587299910;4.91;97.69;0.022218;0.043797;0.213727;0.068869;0.110352;1.000000;0.052451;0.583882;0.824767;72.03993847;36.04868860;3.650782142;86.479326050;1.3720073540;56.86274510;100.00000000;17.286339420;25.853596440
Jawa Timur;Kota Batu;ID3579;1147.000;1.135;3.06;101.26;1.3606664120;0.3592518580;2.6943889350;3.63;96.39;0.037390;0.034279;0.339391;0.071251;0.148364;0.992100;0.044533;0.476280;0.791877;63.97982445;50.29780626;3.819698570;19.003965600;2.4069874490;100.00000000;100.00000000;5.932945357;4.929599972
Banten;Kab Pandeglang;ID3601;478.000;1.005;9.18;105.00;0.1719521852;0.4344055206;0.3770881255;8.09;63.66;0.033478;0.023350;0.600979;0.079406;0.135959;0.420962;0.477155;0.279546;0.546197;43.95283531;72.34702236;3.976070185;6.595559661;3.5589577280;63.12684366;76.40117994;2.177591912;1.362668014
Banten;Kab Lebak;ID3602;438.000;1.081;8.44;105.71;0.2173598029;0.4747414108;0.2760124482;6.23;70.23;0.049891;0.024797;0.641046;0.078900;0.123311;0.279462;0.309847;0.290757;0.517291;42.81301625;70.84155906;3.848178488;9.381736500;5.6913766810;20.28985507;89.85507246;2.042461460;1.223101605
Banten;Kab Tangerang;ID3603;3309.000;1.127;6.55;104.14;0.6807842399;0.2070289870;0.8528182703;6.06;89.38;0.025933;0.025151;0.346582;0.082507;0.087710;0.961616;0.226329;0.422659;0.723381;58.55906168;31.24848102;3.900784239;47.586012300;1.2859911370;50.00000000;70.07299270;9.198645598;12.124068650
Banten;Kab Serang;ID3604;1158.000;1.171;4.51;104.21;0.2720648725;0.2914561053;0.4700904924;9.18;85.31;0.035139;0.028888;0.461740;0.081192;0.107711;0.453916;0.400093;0.307949;0.597671;50.71690690;43.72862080;4.266293676;13.760706440;2.5666940890;23.00613497;83.43558282;4.671714595;4.019874290
Banten;Kota Tangerang;ID3671;11012.000;0.687;5.43;101.62;0.8874880981;0.3177237942;1.7821046150;5.92;96.93;0.018423;0.025342;0.207079;0.076487;0.080766;1.000000;0.079986;0.576707;0.839914;70.53006711;29.00737196;3.731955612;122.702551200;1.1405469530;38.46153846;93.26923077;18.317914210;31.905119420
Banten;Kota Cilegon;ID3672;2804.000;1.132;3.75;102.65;1.0688731840;0.3160528511;1.3168868790;6.08;97.10;0.014800;0.023329;0.301399;0.082353;0.053220;1.000000;0.034900;0.407127;0.804761;60.98124257;35.25655920;4.155868097;47.166328230;2.2277336380;86.04651163;100.00000000;7.507230324;11.832196500
Banten;Kota Serang;ID3673;2765.000;1.534;5.65;104.20;0.6028277110;0.3483609346;1.9050988610;7.12;92.71;0.043164;0.025731;0.447554;0.084916;0.084374;0.889800;0.305522;0.338135;0.694238;55.38402797;44.88499747;4.431379308;32.864291360;1.5322437980;44.77611940;100.00000000;7.840776553;7.786065845
Banten;Kota Tangerang Selatan;ID3674;8489.000;0.568;2.36;99.54;1.4548052880;0.4001429082;2.2150768130;5.09;99.34;0.015929;0.024134;0.212104;0.071815;0.090127;1.000000;0.132255;0.603820;0.816510;72.12601829;32.28223382;3.802813560;133.925755200;0.6352268667;50.00000000;74.07407407;18.694650010;29.063301070
